Name,ROI,Day,Month,Width,Height,x,y,Class,Label,Status
1001_63_48_c13_cp2,1001_63_48,1001,9,6,4,62.0,47.0,2,COL,New
1001_63_48_c13_cp2,1001_63_48,1001,9,6,4,61.0,48.0,2,COL,New
1001_63_48_c13_cp2,1001_63_48,1001,9,6,4,62.0,49.0,2,COL,New
1001_63_48_c13_cp2,1001_63_48,1001,9,6,4,62.0,50.0,2,COL,New
1001_63_48_c13_cp2,1001_63_48,1001,9,6,4,64.0,50.0,2,COL,New
1001_63_48_c13_cp2,1001_63_48,1001,9,6,4,65.0,49.0,2,COL,New
1001_63_48_c13_cp2,1001_63_48,1001,9,6,4,65.0,48.0,2,COL,New
1001_63_48_c13_cp2,1001_63_48,1001,9,6,4,66.0,47.0,2,COL,New
1002_41_44_c12_cp2,1002_41_44,1002,9,4,7,41.0,42.0,2,COL,New
1002_41_44_c12_cp2,1002_41_44,1002,9,4,7,40.0,43.0,2,COL,New
1002_41_44_c12_cp2,1002_41_44,1002,9,4,7,40.0,47.0,2,COL,New
1002_41_44_c12_cp2,1002_41_44,1002,9,4,7,41.0,48.0,2,COL,New
1002_41_44_c12_cp2,1002_41_44,1002,9,4,7,43.0,46.0,2,COL,New
1002_41_44_c12_cp2,1002_41_44,1002,9,4,7,43.0,42.0,2,COL,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,21.0,43.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,20.0,44.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,19.0,44.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,17.0,46.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,17.0,47.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,15.0,49.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,15.0,52.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,16.0,53.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,17.0,53.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,18.0,54.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,19.0,54.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,20.0,53.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,21.0,53.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,24.0,50.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,24.0,49.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,25.0,48.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,25.0,46.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,26.0,45.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,25.0,44.0,1,COH,New
1002_20_48_c16_cp1,1002_20_48,1002,9,12,12,25.0,43.0,1,COH,New
1003_38_48_c12_cp2,1003_38_48,1003,9,3,3,37.0,47.0,2,COL,Continued
1003_38_48_c12_cp2,1003_38_48,1003,9,3,3,37.0,49.0,2,COL,Continued
1003_38_48_c12_cp2,1003_38_48,1003,9,3,3,39.0,49.0,2,COL,Continued
1003_38_48_c12_cp2,1003_38_48,1003,9,3,3,39.0,47.0,2,COL,Continued
1003_38_48_c13_cp2,1003_38_48,1003,9,11,9,36.0,47.0,2,COL,Continued
1003_38_48_c13_cp2,1003_38_48,1003,9,11,9,37.0,46.0,2,COL,Continued
1003_38_48_c13_cp2,1003_38_48,1003,9,11,9,39.0,46.0,2,COL,Continued
1003_38_48_c13_cp2,1003_38_48,1003,9,11,9,40.0,47.0,2,COL,Continued
1003_38_48_c13_cp2,1003_38_48,1003,9,11,9,40.0,49.0,2,COL,Continued
1003_38_48_c13_cp2,1003_38_48,1003,9,11,9,39.0,50.0,2,COL,Continued
1003_38_48_c13_cp2,1003_38_48,1003,9,11,9,37.0,50.0,2,COL,Continued
1003_38_48_c13_cp2,1003_38_48,1003,9,11,9,36.0,49.0,2,COL,Continued
1004_30_49_c11_cp2,1004_30_49,1004,10,4,4,30.0,48.0,2,COL,Continued
1004_30_49_c11_cp2,1004_30_49,1004,10,4,4,29.0,49.0,2,COL,Continued
1004_30_49_c11_cp2,1004_30_49,1004,10,4,4,29.0,50.0,2,COL,Continued
1004_30_49_c11_cp2,1004_30_49,1004,10,4,4,30.0,51.0,2,COL,Continued
1004_30_49_c11_cp2,1004_30_49,1004,10,4,4,31.0,51.0,2,COL,Continued
1004_30_49_c11_cp2,1004_30_49,1004,10,4,4,32.0,50.0,2,COL,Continued
1004_30_49_c11_cp2,1004_30_49,1004,10,4,4,32.0,48.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,29.0,45.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,27.0,47.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,27.0,52.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,29.0,54.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,32.0,54.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,33.0,53.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,34.0,53.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,34.0,52.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,35.0,51.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,35.0,46.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,34.0,45.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,30.0,47.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,32.0,47.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,33.0,48.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,33.0,50.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,31.0,52.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,30.0,52.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,28.0,50.0,2,COL,Continued
1004_30_49_c12_cp2,1004_30_49,1004,10,9,10,28.0,49.0,2,COL,Continued
1005_26_45_c10_cp2,1005_26_45,1005,10,5,5,25.0,44.0,2,COL,Continued
1005_26_45_c10_cp2,1005_26_45,1005,10,5,5,25.0,47.0,2,COL,Continued
1005_26_45_c10_cp2,1005_26_45,1005,10,5,5,26.0,48.0,2,COL,Continued
1005_26_45_c10_cp2,1005_26_45,1005,10,5,5,28.0,48.0,2,COL,Continued
1005_26_45_c10_cp2,1005_26_45,1005,10,5,5,28.0,47.0,2,COL,Continued
1005_26_45_c10_cp2,1005_26_45,1005,10,5,5,29.0,46.0,2,COL,Continued
1005_26_45_c10_cp2,1005_26_45,1005,10,5,5,28.0,45.0,2,COL,Continued
1005_26_45_c10_cp2,1005_26_45,1005,10,5,5,28.0,44.0,2,COL,Continued
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,74.0,56.0,1,COH,New
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,74.0,57.0,1,COH,New
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,73.0,58.0,1,COH,New
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,73.0,60.0,1,COH,New
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,72.0,61.0,1,COH,New
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,72.0,62.0,1,COH,New
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,73.0,62.0,1,COH,New
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,73.0,61.0,1,COH,New
1006_73_59_c14_cp1,1006_73_59,1006,10,3,7,74.0,60.0,1,COH,New
1008_12_58_c12_cp2,1008_12_58,1008,10,4,3,11.0,57.0,2,COL,New
1008_12_58_c12_cp2,1008_12_58,1008,10,4,3,11.0,59.0,2,COL,New
1008_12_58_c12_cp2,1008_12_58,1008,10,4,3,14.0,59.0,2,COL,New
1008_12_58_c12_cp2,1008_12_58,1008,10,4,3,14.0,57.0,2,COL,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,27.0,29.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,26.0,30.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,25.0,30.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,24.0,31.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,24.0,32.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,23.0,33.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,23.0,34.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,22.0,35.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,22.0,39.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,23.0,39.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,24.0,38.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,26.0,38.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,27.0,37.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,28.0,37.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,30.0,35.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,30.0,31.0,1,COH,New
1009_26_33_c13_cp1,1009_26_33,1009,10,9,11,28.0,29.0,1,COH,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,73.0,16.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,72.0,17.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,71.0,17.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,70.0,18.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,70.0,19.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,71.0,20.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,77.0,20.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,78.0,19.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,80.0,19.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,82.0,17.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,81.0,17.0,0,CL,New
1009_75_17_c2_cp1,1009_75_17,1009,10,13,5,80.0,16.0,0,CL,New
100_94_17_c5_cp2,100_94_17,100,4,16,16,91.0,11.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,90.0,12.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,89.0,12.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,87.0,14.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,87.0,17.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,88.0,18.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,88.0,20.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,90.0,22.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,90.0,23.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,92.0,25.0,0,CL,Continued
100_94_17_c5_cp2,100_94_17,100,4,16,16,94.0,25.0,0,CL,Continued
